"Title","glide gscore","Exp. ΔG"
"13",-10.0163215853833005,-11.2200000000000006
"14",-8.6669598242755104,-8.2899999999999991
"15",-7.5174246017100597,-7.6399999999999997
"16",-8.7814787655773099,-9.2400000000000002
"17",-7.2522699833583903,-8.9399999999999995
"18",-7.4861582994142601,-10.9100000000000001
"19",-9.1029522205346698,-10.6699999999999999
"20",-9.0608670625255101,-10.6400000000000006
"21",-6.8957302395297200,-9.6999999999999993
"22",-9.3756113123738700,-10.2200000000000006
"23",-7.1855503411638901,-8.9600000000000009
"24",-7.4698093144104600,-10.2799999999999994
"25",-8.1770902797874605,-9.7400000000000002
"26",-7.3785353650911496,-10.1600000000000001
"27",-7.8475901940375703,-8.4100000000000001
"28",-9.8527174129707298,-6.1699999999999999
"29",-9.3520751910837703,-9.1999999999999993
"30",-5.9603187070272696,-11.6300000000000008
"31",-9.7755519184138393,-11.8699999999999992
"32",-7.4560979004173200,-9.4900000000000002
"33",-5.9824252561303997,-11.0500000000000007
"34",-9.2582154056630301,-11.1300000000000008
"35",-9.4669382541396594,-11.4600000000000009
"36",-8.9418173054765493,-11.2200000000000006
"37",-7.9310670355947304,-11.4600000000000009
"38",-9.6076268892510992,-11.3200000000000003
"39",-9.2661127453080692,-11.4600000000000009
"40",-7.6519903169544197,-11.1300000000000008
"41",-7.8743596943863396,-11.2200000000000006
"42",-6.8174350590770203,-11.4600000000000009
"43",-7.7883890537799898,-11.8699999999999992
"44",-8.4538086804219006,-11.4600000000000009
"45",-8.7076037570806193,-11.1300000000000008
